"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Country"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
	-50						3794		"BULGARIA"	43.5	28.5											2												2				
	-47	4	17						"CHINA"	34.9	104.7			9		3						2		3				3						2		3		
	-33								"ISRAEL"	31.2	34.2			9	30000	4											30000	4										
	-31	9	2			0			"ISRAEL"	32	35.5		7									3																
	-27								"EGYPT"	25.7	32.7											3												3				
	-26								"CHINA"	28.8	104.6		5.5	7	13	1						2					13	1						2				
	-26						19		"CYPRUS"	35	33			9																								
	-15					0			"CYPRUS"	35.2	34											4																
	10					0			"TURKMENISTAN"	38	58.3	18	7.1	10								3																
	11					0			"TURKEY"	37.8	27.4			10																								
	17								"TURKEY"	37.85	27.3			10								3												3				
	23					0			"GREECE"	38.2	22.2			10																								
	25					0			"PAKISTAN"	33	72											3																
	27					0			"SOUTH KOREA"	35.9	126.5		6.3	8								3																
	29					0			"TURKEY"	40.5	28.9			9								3		3										3		3		
	33								"ISRAEL"	31.8	35.2											2												2				
	37	4	9						"TURKEY"	36.1	36.1					3						4						3						4				
	46	10	23						"CHINA"	33	112.5		6.5	8		2						2		2				2						2		2		
	50								"AFGHANISTAN"	37	68.5											2												2				
	52					0			"TURKEY"	36.1	36.1			9								3																
	52					0			"GREECE"	41	24.3											3																
	55					0			"GREECE"	35	25			10																								
	57					0			"ALBANIA"	41.2	19.3			10																								
	60								"TURKEY"	37.9	29.2			9								3												3				
	62						23		"GREECE"	35.2	25.1		6.9	9																								
	63								"ITALY"	40.7	14.5			10																								
	68						5780		"TURKEY"	36.217	30.017																											
	76						26		"CYPRUS"	34.8	32			10								3		3										3		3		
	79	8	24				3093	1348	"ITALY"	40.821	14.426			10													2100	4										
	89					0			"SOUTH KOREA"	35.9	126.5		6.3	8		3						2		2				3						2		2		
	93					0			"TURKEY"	40.6	26.7					3						3																
	100								"SOUTH KOREA"	35.8	129.2		6.3	8		3						2		3				3						2		3		
	103						2284		"UKRAINE"	44.7	33.3		7																									
	105								"TURKEY"	39.5	27			10																								
	109								"TURKEY"	40	34											3		3										3		3		
	115	12	13				4396		"TURKEY"	36.1	36.1		7.5	11	260000	4						4					260000	4						4				
	120						3096		"TURKEY"	40.77	29.92		7.2	9		3						2		3				3						2		3		
	123						3583		"SOUTH KOREA"	35.8	129.2		6.3	8								1		2										1		2		
	128	2	23						"CHINA"	34.7	105.4		6.5	8		2						2		2				2						2		2		
	138	3	1						"CHINA"	35.8	103.5		6.8	9		3						3		3				3						3		3		
	142						27		"GREECE"	36.7	28		7	8								2		2										3		3		
	143	10							"CHINA"	34.7	105.3		7	9		1						1						1						1				
	155					0			"GREECE"	36.5	28.5	100		10																								
	170					0			"GREECE"	39	24.5											3																
	173	6	28				29		"CHINA"	37.5	120																											
	177								"TURKEY"	38.6	26.65			7		3						2						3						2				
	177						3097		"ITALY"	38	15			9								3												3				
	180	9							"CHINA"	39.4	99.5		7.5	10																								
	243					0			"ITALY"	45.3	11		5.3									4																
	251	7	9			0			"GREECE"	35.5	25.5			10																								
	253	7	9			0			"TURKEY"	39.1	27.2			10																								
	258						3427		"ITALY"	41.9	12.45			8								3	1001	4										3	1001	4		
	262						31		"TURKEY"	36.6	30					3						2		3				3						2		3		
	294	7							"CHINA"	32.6	116.8		5.5	7		1												1										
	294	9							"CHINA"	40.3	116		5.5	7	101	3											101	3										
	304					0			"SOUTH KOREA"	35.5	129.1		6.3	8		3						2		2				3						2		2		
	306					0			"LEBANON"	33.2	35.1			9								3																
	315						32		"ISRAEL"	31.7	35.5											1												1				
	319	6	17						"CHINA"	34.1	105.3		4.5			2												2										
	324	8	6			0			"ITALY"	40.5	14.5			10																								
	334					0			"ALBANIA"	41.2	19.3			10																								
	340					0			"TURKEY"	36.1	36.1			9								3																
	341					0			"TURKEY"	36.2	36.1			7																								
	342								"TURKEY"	36.2	36.1				40000	4						4					40000	4						4				
	342								"ALBANIA"	41.3	19.5			10								2												2				
	344	4	11						"ITALY"	40.5	14.5			10																								
	344								"CHINA"	35.4	114.3				101	3											101	3										
	344						35		"TURKEY"	40.3	26.5			9								3												3				
	346						3474		"ALBANIA"	41.4	19.4		6.8	9								2		3										2		3		
	348						36		"LEBANON"	33.9	35.5			9								3												3				
	350	10				0			"TURKEY"	41	30			10																								
	355					0			"TURKEY"	40.7	29.7			9								3																
	358	8	24				2314		"TURKEY"	40.77	29.9			7		3						3						3						3		3		
	361								"MACEDONIA"	41.6	21.5			12								4																
	362	5	24				37		"JORDAN"	31.3	35.6		6.4									3												3				
	362	12	2						"TURKEY"	41	29.5			10																								
	365	7	21				38		"GREECE"	35	23		8	11		3						4		3		3	5000	4						4		3		
	367	10	11			0			"TURKEY"	40.7	29.7				1000	3						3																
	368	10	11						"TURKEY"	40	29											3												3				
	368						3475		"TURKEY"	40.5	29.6		6.4	8								2												2				
	369								"ITALY"	41.1	14.8			10																								
	382						4273		"PORTUGAL"	36	-10.83		7.5																									
	394					0			"TURKEY"	36.1	36.1			9								3																
	396					0			"TURKEY"	36.1	36.1			9								3																
	407	4	1				2315		"TURKEY"	41	29		6.6	8								1												1				
	412								"TUNISIA"	37.067	10.067			10																								
	419								"ISRAEL"	31.2	34.2											3																
	425								"ISRAEL"	31.9	34.9			10								3												3				
	427					0			"AZERBAIJAN"	40.5	46.5	12	6.7	10								3																
	438					0			"GREECE"	35.5	25.5			10																								
	440	10	26			0			"TURKEY"	41	29			7								3																
	447	1	26				41		"TURKEY"	40.9	28.5		7.3	9		3						3		3				3						3		3		
	448	9	6			0			"GREECE"	35	25			10																								
	450						4294		"TURKEY"	40.4	28.4			5																								
	457								"TURKEY"	36.2	36.1			10								4												4				
	458	9							"TURKEY"	36.2	36.1			9	80000	4						3					80000	4						3				
	460	7	22						"THAILAND"	20.3	100			12		3						3						3						3				
	470					0			"FRANCE"	44.4	4.3											3																
	477	9	25			0			"TURKEY"	41	29			10		3						3																
	478	9	25				2317		"TURKEY"	40.8	29.2		7.2	9																								
	494					0			"LEBANON"	34.3	35.5			10								3																
	499	8	4						"CHINA"	32.1	118.8			6								2		3										2		3		
	500					0			"KAZAKHSTAN"	42.7	76.5	20	6.7	8								3																
	501								"NORTH KOREA"	39	125.3		6.3	8		3						2																
	510					0			"SOUTH KOREA"	35.5	129.1		6.3	8		3						2		2				3						2		2		
	512	5	21						"CHINA"	39.4	113.3		7.5	10	5130	4			2720	4		4					5130	4			2720	4		4				
	518								"MACEDONIA"	42	21.4			12								4																
	521					0			"GREECE"	39.6	21.2											3																
	522					0			"SYRIA"	36.2	36.1			10								3																
	522					0			"ALBANIA"	41.2	19.3			10																								
	525	5	29						"TURKEY"	36.25	36.1		7	9	250000	4						4					250000	4						4				
	527					0			"GREECE"	40.1	20.8			10																								
	528	11	29						"TURKEY"	36.25	36.1		7.1	10	4870	4						4					4870	4						4				
	533	11	29						"SYRIA"	36.2	37.2				130000	4											130000	4										
	543						43		"TURKEY"	40.3	27.8		6.8	10								3						3						3				
	551	4					46		"GREECE"																													
	551	7	7				5586		"GREECE"	38.4	22.3		7.1	9	5000	4						4		4			5000	4						4		4		
	551	7	9				47		"LEBANON"	33.9	35.5		7.3	10		4						4						4						4				
	552	7	9			0			"SYRIA"	36.1	37.1			10								3																
	553	7	9			0			"LEBANON"	33.9	35.5			10								3																
	554	8	15				48		"GREECE"	36.8	27.3		7			3						2		2		2		3						2		2		2
	555	8	15				3785		"TURKEY"	41.04	28.98			10																								
	557	7	9						"TURKEY"	36.1	36.1			10								3		3										3		3		
	557	10	14						"TURKEY"	40.9	27.6																											
	557						2286		"TURKEY"	40.9	27.6		7	9																								
	558	12	14				49		"TURKEY"	40.9	28.8		7	9																								
	558	12	25						"ITALY"	43.6	13.5			10								3												3				
	565					0			"TURKEY"	36.2	36.1				30000	4																						
	567					0			"SLOVENIA"	45.6	15.3			10																								
	579					0			"TURKEY"	36	36											3																
	581	7	9			0			"TURKEY"	36.1	36.1			9								3																
	587	9	30						"TURKEY"	36.25	36.1			9	60000	4						4					60000	4						4				
	600	12	13						"CHINA"	34.3	108.9			7	101	3						2		3			101	3						2		3		
	614					0			"ITALY"	41	15				1000	3						3																
	634								"ISRAEL"	32	35.5			8								3												3				
	649	9	12						"CHINA"	36.1	111.5		5.5	7	50	1						2		2			50	1						2		2		
	662	4	26			0			"IRAN"	35.3	54				40000	4						3																
	664	9	12			0			"SOUTH KOREA"	35.5	129.1		6.3	8								3																
	678					0			"IRAQ"	35	43.5			7								3																
	684	11	29				53		"JAPAN"	32.5	134		8.4			3						3						3						3				
	688								"TURKEY"	38.4	27.2			9	2000	4						3																
	701	5	12				54		"JAPAN"	35.7	135.4		7																									
	704	8	2				55		"JAPAN"	33.8	136.7		7																									
	713	3	20						"TURKEY"	36	36			7								3																
	715					0			"TURKEY"	40.4	28.9			9								2																
	716	8	25			0			"TURKEY"	36	36											2																
	720	10					5874		"UK"	56.33	-6.41																											
	734	3	19						"CHINA"	34.6	105.6		7	9	101	3						2		3			101	3						2		3		
	735	6	21			0			"ARMENIA"	39.7	45.5	16	5.8	8								2																
	740	10	26				56		"TURKEY"	40.7	29.3		7.3	9		3						3		3				3						3		3		
	742								"SYRIA"	35	38					3						3																
	743								"IRAN"	35.3	52.2		7.2	9								3												3				
	743								"RUSSIA"	42.1	48.2	20	5.5	7								1												1				
	744	6	30				57		"JAPAN"	32.4	130.5		6.4														1520	4						2	470	3		
	745	6	5						"JAPAN"	35.5	136.9		7.9									3												3				
	745	6	9				58		"JAPAN"	34.6	135.3		6.5															3										
	746	1	18			0	59		"ISRAEL"	32	35.5		7	11		3						3						3						3				
	748	8	31						"SYRIA"	33.5	36.3											2																
	749	1	25						"IRAQ"	35	43.5			10								3																
	758								"ISRAEL"	31.2	34.2			7								2																
	763								"IRAN"	33.3	59.3		7.6																									
	766	7	20				61	844	"JAPAN"	31.6	130.7		6.5															3										
	777								"CHINA"	37.8	115.2			8	200	3						2		3			200	3						2		3		
	778								"ITALY"	45.4	12.2		5.6		48	1						2																
	778								"CHINA"	28.1	111.4					3												3										
	780					0			"SOUTH KOREA"	35.5	129.1		6.3	8	100	3						2		2			100	3						2		2		
	788	3	8						"CHINA"	32.5	109.4		6.5	8								2		3										2		3		
	793	4	30			0			"ITALY"	45.5	11		6	9		3						3						3						3				
	796	4	7			0			"GREECE"	35	25	100		10																								
	801	4	30	1					"ITALY"	41.9	12.6			10								3		3										3		3		
	802	5	31			0			"ITALY"	45.4	11.9			10																								
	803	12	19				64		"TURKEY"	36.95	35.6											1												1				
	811								"UK"	56.3	-2.8				1400	4						3		3		3	1400	4						3		3		
	814	4	2						"CHINA"	27.9	102.2		7		101	3						1					101	3						1				
	818	5	15						"AFGHANISTAN"	36.8	66.2	50	7.5	8		3						3						3						3				
	818	8					66		"JAPAN"	35.2	139.3		7.9			3						2						3						2				
	820	8	19						"CHINA"	37.4	112.6				20	1											20	1										
	835	1	5			0			"TURKEY"	36	36			9								3																
	838	11	23			0			"UZBEKISTAN"	40.4	71.3				15000	4						4																
	842	10	24				67		"UK"	49.5	-2.5											1												1				
	844	9	18			0			"SYRIA"	33.5	36.3			8	50000	4						4																
	845	9	6			0			"IRAQ"	36.2	43.1				50000	4																						
	846								"TURKEY"	36.1	36.1			8								3												3				
	847	6							"ITALY"	41.6	14.2			10								3												3				
	847	11	24						"SYRIA"	33.5	36.3											2												2				
	847								"IRAQ"	36.21	42.08			10	70000	4						3					70000	4						3				
	850	7	15						"IRAN"	35.3	51.2				45000	4						3					45000	4										
	850	11	27				69		"JAPAN"	39	139.9		7															3						2				
	851								"ARMENIA"	40	44.6	10	5.2	8	12000	4											12000	4										
	853								"ITALY"	41.5	14.5			10																								
	854	6	2						"TUNISIA"	35.7	10.1			10								3		3										3		3		
	854								"ARMENIA"	40	45				2000	4						3					2000	4						3				
	854								"FRANCE"	50.1	3.1			8								2																
	855	5	22						"IRAN"	35.3	51.2					3						3		3				3						3		3		
	856	1							"ARMENIA"	40	44.6	10	4.5	8								3		3				2						3		3		
	856	12	3						"TUNISIA"	36.8	10.2			10	45000	4						4					45000	4						4				
	856	12	22						"IRAN"	36.2	54.3		7.9	10	200000	4						4		4			200000	4						4		4		
	856	12							"GREECE"	37.9	22.9				45000	4											45000	4										
	857	4							"EGYPT"													2		2		2								2				2
	858	1							"TURKEY"	40	44.6	10	5.2		12000	4						3																
	858	4	19						"IRAN"	38	46.2					3						3																
	859	4	8						"TURKEY"	36	36			11		3						3																
	860	5	23			0			"IRAQ"	33	44.5			8								2																
	863	2	24						"IRAN"	35.3	51.2					3						3																
	863	4							"TURKEY"	40	44.6	10	4.9			3						2																
	863	7	10				72		"JAPAN"	37.1	138		7			3						3		3				3						3		3		
	863								"IRAN"	38	46.2					3						3																
	864	1	15			0			"IRAN"	35.3	51.2											2																
	867	1	9			0			"TURKEY"	41	29			10																								
	869	7	13				74		"JAPAN"	38.5	143.8		8.6			3						4		3				4						4		3		
	871	11	18						"IRAN"	33.2	47.2		6.8	7	20000	4						4		4			20000	4						4		4		
	876	7	14						"CHINA"	37.8	105.9		6.5	8		3						2		2				3						2		2		
	881	5	26				4282		"SPAIN"	36	-8		7.5	10								3		3		3								3		3		3
	885	11	27						"EGYPT"	30	31.1			10	1000	3						3		3		3	1000	3						3		3		
	887	8	2				76		"JAPAN"	37.5	138.1		6.5														2000	4										
	887	8	26				77		"JAPAN"	33	135.3		8.6			2						3		3				3						3		3		
	891					0			"IRAN"	38.3	48.3	20	6.3	9								3																
	893	12	24						"ARMENIA"	40	44.6	10		10	150000	4						4		4			150000	4						4		4		
	894					0			"ITALY"	45.3	11		5.3			2						2																
	896	9	4			0			"MACEDONIA"	41.7	22.9			10																								
	896					0			"ITALY"	41.9	12.6					3						3																
	898					0			"IRAN"	35.3	51.2											3																
	910	9	9			0			"IRAQ"	33.2	44.2											2																
	912	4				0			"IRAN"	34.6	47.8											3																
	922						79		"JAPAN"	33.8	136.7		7									1												1				
	942	6				0			"UZBEKISTAN"	39.7	64.5	20	6.7	9								3																
	942	9	15						"IRAN"	36	51.7					3																						
	943	8	20						"TURKMENISTAN"	38	58.3				5000	4						3																
	951					0			"SYRIA"	36.1	37.1			9								3																
	953	8	20			0			"TURKMENISTAN"	38	58.3	18	7.1	10								3																
	956	4	15			0			"IRAN"	34.9	48.4					3						2																
	957	4							"IRAQ"	34.8	44.8			7								3																
	957					0	80		"IRAN"	35.7	51.4																											
	958	2	23			0			"IRAN"	35.3	51.2					3						3						3						3				
	958	3				0			"IRAQ"	33.2	44.2											3												3				
	963	7	22				3429		"ITALY"	38	15			11		3												4										
	972					0			"TURKEY"	36.1	36.1			9								2																
	977	8	19			0			"IRAN"	27.4	52.2											3																
	978	6	17						"IRAN"	27.7	52.3		5.3	7	2000	4						3		3			2000	4						3		3		
	985	2	10			0			"ITALY"	41.1	14.8											2																
	986	5	13						"IRAQ"	36.2	43.1			8		3						3																
	990					0			"ITALY"	41.1	14.8			10																								
	991	4	5			0	82		"SYRIA"	33.5	36.3			9								2																
	999	8	23						"CHINA"	29	112					2						2						2						2				
	999	10							"CHINA"	31.8	119.9		5.5	7								1												1				
	1000	1							"SLOVENIA"	46	14.5			8								3																
	1000	4	30						"CHINA"	35	110				62	2						1					62	2						1				
	1001	1							"CHINA"	34.3	109				60	2											60	2										
	1001					0			"ITALY"	45.3	11		6			3						2																
	1003					0			"FRANCE"	47	6											3																
	1003								"TURKEY"	40.5	43.3	20	4.2	7		3						2																
	1007	9	17						"IRAQ"	33.2	44.2			8	16000	4						3																
	1008	4	11				3562		"IRAN"	27.665	52.348		6.5		16000	4						4					16000	4						4				
	1010	3	9			0			"TURKEY"	41	29.5			10																								
	1013								"ICELAND"	64	-21			10	11	1											11	1										
	1021	5	12	10		0			"SWITZERLAND"	47.5	7.6			9								3																
	1022	4							"CHINA"	39.8	113.1		6.5	8								1		1										1		1		
	1026	6	16				83		"JAPAN"	34.8	131.8		7.5														1001	4						3	3000	4		
	1033	12	5				84		"SYRIA"	33	35			10	70000	4						3		3			70000	4						3		3		
	1036	7							"NORTH KOREA"	37.6	126.3		5.7	7								2																
	1037	12							"CHINA"	32	119				22391	4						4					22391	4						4				
	1038	1	9						"CHINA"	38.4	112.9		7.3	10	32300	4						4																
	1039	2	2				87		"TURKEY"	38.4	27.3		6.8			3						2		2		2		3						2		2		
	1040								"TUNISIA"	35.7	10			11								3																
	1042	8	21						"IRAN"	38	46.2				40000	4						4																
	1042	11	4	13	30				"IRAN"	38.1	46.3	15	7.6	9	50000	4						4					50000	4						4				
	1045					0			"TURKEY"	39.7	39.5			9								2																
	1046					0			"TURKEY"	40.5	43.5	15	5.5	8		3						3																
	1048								"UK"	52	0					3																						
	1052	3							"IRAN"	36	58.8											3																
	1052								"IRAN"	30.6	50.3											3																
	1057								"CHINA"	39.7	116.3		6.8	9	25000	4						4					25000	4						4				
	1058	12	8	15					"IRAQ"	34.3	44.7					3						3																
	1063	7				0			"LEBANON"	34.3	35.5			8		3						3																
	1063	9	23			0			"TURKEY"	40.4	28.9			8																								
	1064					0			"TURKEY"	40.7	29.7											3																
	1065	1	21			0			"ITALY"	38.1	15.1			10	975	3						3																
	1065	12	3			0			"IRAN"	35	58					3						3																
	1066	3	31			0			"IRAN"	34	58					3						3																
	1067	11							"CHINA"	23.6	116.5		6.8	9		3						4						3						4				
	1068	3	18				90		"ISRAEL"	29.5	34.95			9		3						4		4				3						4		4		
	1068	8	14						"CHINA"	38.5	116.1		6	8		3						3		3				3						3		3		
	1070	2	25			0			"EGYPT"	30	31.1											2																
	1072								"YEMEN"	14.2	43.3			8	50	1						2		2		2	50	1						2		2		
	1076					0			"SYRIA"	35	38			8		3						3																
	1082	12	6			0			"TURKEY"	40.5	28.5			10																								
	1085	4	29						"IRAN"	31	49					3						3																
	1085	4	29						"TURKEY"	39.9	41.1					3																						
	1086	4	18						"IRAQ"	34	44			8								2																
	1086								"ITALY"	37	15.3				1000	3						3																
	1088	4	22						"GEORGIA"	41.4	43.2	10	5.3			3						3																
	1088	6	10				93		"JAPAN"	40.5	143		7																									
	1089								"SYRIA"	34.3	38.2			8								3																
	1091	9	26						"TURKEY"	36.1	36.1			9								3												3				
	1096	12	17				96		"JAPAN"	34	137.5		8.4		400	3																						
	1099	2	22				2992		"JAPAN"	33	135.5		8.4																					1				
	1101								"IRAN"	36	59	10	6.5	10	60000	4											60000	4										
	1102	1	15						"CHINA"	37.5	112.6					3						3						3						3				
	1102	2	28			0			"AFGHANISTAN"	35	62.1	15	6.1	8								2																
	1106								"TURKEY"	36.2	36.1			8								1		1		1								1		1		
	1109								"TURKEY"	36.2	36.1			11								3		3		3								3		3		
	1111					0			"TURKEY"	38.5	43.4			9								3																
	1114	3	12						"TURKEY"	37.5	38.5																											
	1114								"TURKEY"	36.1	36.1											2																
	1114								"ITALY"	42.42	12.1			10								1												1				
	1115					0			"IRAN"	26.4	55.5											3																
	1115								"TURKEY"	36.1	36.1											3																
	1115								"TURKEY"	36.8	39			10								3																
	1117	1	3	21	30	0			"ITALY"	45.5	11			11																								
	1117	3	1			0			"ITALY"	44.8	11.3			10		3						3																
	1118								"UK"							3						4						3						4				
	1119	12	10			0			"IRAN"	36.2	50		6.5									3																
	1125	8	30						"CHINA"	36.1	103.7		7	9								3		3										3		3		
	1125	10	11			0			"ITALY"	41.1	14.8			10																								
	1130	2	12			0			"IRAQ"	36.2	43.1											3																
	1130	2	28			0			"IRAQ"	33.2	44.2			7								2																
	1137	9	19						"IRAQ"	36.3	43.1			9		3						4						3						4				
	1137					0			"ITALY"	37.3	15.1				15000	4																						
	1139								"AZERBAIJAN"	40.3	46.3			11	230000	4						4		4			230000	4						4		4		
	1143	4							"CHINA"	38.5	106.3		6	8	10000	4						3		3			10000	4						3		3		
	1149	5	11			0			"IRAQ"	33.2	44.4					3																						
	1151					0			"SYRIA"	32.6	36.7		6.2	9								3																
	1151					0			"PORTUGAL"	38.7	-9.1				1000	3						1																
	1153					0			"GREECE"	39.8	20.1			10																								
	1155	1	18						"ITALY"	45.8	8.1					3																						
	1155								"SYRIA"	34.5	36.5				2000	4																						
	1156	10	26						"SYRIA"	36.2	37.2				2000	4						3		3			2000	4						3		3		
	1157	2	13						"SYRIA"	35.1	36.3				8000	4						4					80000	4						4				
	1158								"SYRIA"	38.4	38.35				20000	4						4		4			20000	4						4		4		
	1160					0			"ISRAEL"	32	35.5		6.1									3																
	1164					0			"ICELAND"	64.3	-20			10	19	1																						
	1169	2	4				2852	1	"ITALY"	37.3	15.03			11	16000	4						3		3			16000	4						3		3		
	1169								"SYRIA"	36.2	37.2			10	80000	4						3					80000	4						3				
	1171					0			"LEBANON"	34.4	35.8											3																
	1172						3108		"ITALY"	38	15																	3										
	1175	7	22			0			"IRAN"	35.3	51.2					3						3																
	1175					0			"TURKMENISTAN"	37.5	65.5	15	7.1	10																								
	1176					0			"IRAN"	36.3	50											3																
	1179					0			"TURKEY"	36.1	36.1											3																
	1180					0			"ITALY"	41.1	15.1			10																								
	1182					0			"SYRIA"	32.6	36.7		6.7	10								3																
	1182					0			"ICELAND"	64	-21			10	11	1																						
	1183					0			"SYRIA"	34.5	36.5				20000	4						3					20000	4						3				
	1184	5	24			0			"ITALY"	39.3	16.2			10								3																
	1201	4	25	14					"SLOVENIA"	46.4	15.3			8								3												3				
	1202	5	20				100		"SYRIA"	33.5	36		7.6	11	30000	4						4		4			30000	4						4		4		
	1202	7	25						"CHINA"	27.1	118.4					3												3										
	1208	7	16						"IRAN"	36.3	57.6		6.5									3																
	1208								"TURKMENISTAN"	42	60	10	6.1	9	2000	4						3																
	1209	12	4						"CHINA"	36	111.8		6.3	9	3000	4						3		3			3000	4						3		3		
	1209								"IRAN"	36	58.8	10	7.6	9								3																
	1212	5	1						"EGYPT"	28.556	33.976			9		3						3		3				3						3		3		
	1219	6	2						"CHINA"	36	106.2		6.5	9	10000	4						4					10000	4						4				
	1222	5	11	6	15		101		"CYPRUS"	34.75	32.4			9		3						3						3						3				
	1222	12	25	11					"ITALY"	45.55	10.22			10	12000	4						4		4			12000	4						4		4		
	1223								"ITALY"	41.6	15.9			10																								
	1227	7							"CHINA"	38.5	106.3		5.5	7								1		1		1								1		1		
	1227								"FRANCE"	43.6	5.3			11	5000	4						3																
	1231	3	11				3478		"TURKEY"	41	28.6		6.9	8								1		1										1		1		
	1231	6	1						"ITALY"	41.5	13.8			10								2		2										2		2		
	1233								"ITALY"	45.3	12.2		5.6									3																
	1237	3							"ALBANIA"	41.3	19.5			10																								
	1237	8	24						"IRAN"	34.2	58.4											3																
	1237								"ALBANIA"	41.2	19.3			10																								
	1241	5	22				104		"JAPAN"	35.2	139.4		7																					1				
	1248								"ITALY"	41	13				9000	4						4																
	1255	6	7						"NEPAL"	27.7	85.3					3						3		3				3						3		3		
	1257	10	9				105		"JAPAN"	39	144		7.5																									
	1257	10	9				106		"JAPAN"	35.2	139.5		7									1												1				
	1259								"ITALY"	38	12.5			10																								
	1267								"IRAN"	36	58.8	10	5.8	9								3																
	1268								"TURKEY"	39.75	39.5			9	15000	4						3		3			15000	4						3		3		
	1269								"TURKEY"						8000	4						3			3		8000	4						3		3		
	1272	7	29						"IRAN"	38	46.2				250	3						2																
	1273	9					108		"ALBANIA"	41.3	19.7		6.5	9																								
	1273								"ITALY"	40.6	15.8			10																								
	1275	4	14						"GEORGIA"	42.1	44.2	28	6.7			3						3																
	1276								"MOROCCO"	35.1	-6.1					3						3																
	1277	7	20						"ITALY"	45.3	11		5.1			2						2																
	1279	4	30						"ITALY"	44.2	12			11		3																						
	1280	5	3						"IRAN"	36.1	58.5											3																
	1280	6	6						"CROATIA"	44.1	15.2			10																								
	1280	11	3						"CROATIA"	44.1	15.2			10																								
	1281								"IRAN"	36.1	58.8	10	5.8	9								3																
	1283								"GEORGIA"	41.7	43.2	14	6.3	9								3																
	1284								"SYRIA"	33.3	36.2			10																								
	1286								"FRANCE"	47.4	2.5											2																
	1289	8							"CHINA"	40	116.5				10000	4						4					10000	4						4				
	1289	11	25						"FRANCE"	48.6	7.8			7								2																
